indice_tiempo,region_de_destino,origen_visitantes,visitas,observaciones
2008-01-01,buenos aires,no residentes,0,
2008-01-01,buenos aires,residentes,885,
2008-01-01,buenos aires,total,885,
2008-01-01,cordoba,no residentes,145,
2008-01-01,cordoba,residentes,717,
2008-01-01,cordoba,total,862,
2008-01-01,cuyo,no residentes,179,
2008-01-01,cuyo,residentes,4965,
2008-01-01,cuyo,total,5144,
2008-01-01,litoral,no residentes,55335,
2008-01-01,litoral,residentes,111408,
2008-01-01,litoral,total,166743,
2008-01-01,norte,no residentes,774,
2008-01-01,norte,residentes,4241,
2008-01-01,norte,total,5016,
2008-01-01,patagonia,no residentes,141973,
2008-01-01,patagonia,residentes,230087,
2008-01-01,patagonia,total,372060,
2008-02-01,buenos aires,no residentes,0,
2008-02-01,buenos aires,residentes,624,
2008-02-01,buenos aires,total,624,
2008-02-01,cordoba,no residentes,148,
2008-02-01,cordoba,residentes,475,
2008-02-01,cordoba,total,623,
2008-02-01,cuyo,no residentes,139,
2008-02-01,cuyo,residentes,4803,
2008-02-01,cuyo,total,4942,
2008-02-01,litoral,no residentes,53596,
2008-02-01,litoral,residentes,85853,
2008-02-01,litoral,total,139449,
2008-02-01,norte,no residentes,1294,
2008-02-01,norte,residentes,5099,
2008-02-01,norte,total,6393,
2008-02-01,patagonia,no residentes,96632,
2008-02-01,patagonia,residentes,186291,
2008-02-01,patagonia,total,282923,
2008-03-01,buenos aires,no residentes,0,
2008-03-01,buenos aires,residentes,0,
2008-03-01,buenos aires,total,0,
2008-03-01,cordoba,no residentes,147,
2008-03-01,cordoba,residentes,741,
2008-03-01,cordoba,total,888,
2008-03-01,cuyo,no residentes,178,
2008-03-01,cuyo,residentes,5722,
2008-03-01,cuyo,total,5900,
2008-03-01,litoral,no residentes,55130,
2008-03-01,litoral,residentes,59150,
2008-03-01,litoral,total,114280,
2008-03-01,norte,no residentes,1696,
2008-03-01,norte,residentes,9204,
2008-03-01,norte,total,10900,
2008-03-01,patagonia,no residentes,91382,
2008-03-01,patagonia,residentes,98317,
2008-03-01,patagonia,total,189699,
2008-04-01,buenos aires,no residentes,0,
2008-04-01,buenos aires,residentes,462,
2008-04-01,buenos aires,total,462,
2008-04-01,cordoba,no residentes,166,
2008-04-01,cordoba,residentes,539,
2008-04-01,cordoba,total,705,
2008-04-01,cuyo,no residentes,78,
2008-04-01,cuyo,residentes,1730,
2008-04-01,cuyo,total,1808,
2008-04-01,litoral,no residentes,30827,
2008-04-01,litoral,residentes,23821,
2008-04-01,litoral,total,54648,
2008-04-01,norte,no residentes,728,
2008-04-01,norte,residentes,3867,
2008-04-01,norte,total,4595,
2008-04-01,patagonia,no residentes,36759,
2008-04-01,patagonia,residentes,31121,
2008-04-01,patagonia,total,67879,
2008-05-01,buenos aires,no residentes,0,
2008-05-01,buenos aires,residentes,1091,
2008-05-01,buenos aires,total,1091,
2008-05-01,cordoba,no residentes,129,
2008-05-01,cordoba,residentes,608,
2008-05-01,cordoba,total,737,
2008-05-01,cuyo,no residentes,103,
2008-05-01,cuyo,residentes,2299,
2008-05-01,cuyo,total,2402,
2008-05-01,litoral,no residentes,29818,
2008-05-01,litoral,residentes,28538,
2008-05-01,litoral,total,58356,
2008-05-01,norte,no residentes,663,
2008-05-01,norte,residentes,5083,
2008-05-01,norte,total,5746,
2008-05-01,patagonia,no residentes,13038,
2008-05-01,patagonia,residentes,11169,
2008-05-01,patagonia,total,24206,
2008-06-01,buenos aires,no residentes,0,
2008-06-01,buenos aires,residentes,1126,
2008-06-01,buenos aires,total,1126,
2008-06-01,cordoba,no residentes,80,
2008-06-01,cordoba,residentes,112,
2008-06-01,cordoba,total,192,
2008-06-01,cuyo,no residentes,31,
2008-06-01,cuyo,residentes,1388,
2008-06-01,cuyo,total,1419,
2008-06-01,litoral,no residentes,20065,
2008-06-01,litoral,residentes,24447,
2008-06-01,litoral,total,44513,
2008-06-01,norte,no residentes,409,
2008-06-01,norte,residentes,3579,
2008-06-01,norte,total,3988,
2008-06-01,patagonia,no residentes,10322,
2008-06-01,patagonia,residentes,9850,
2008-06-01,patagonia,total,20172,
2008-07-01,buenos aires,no residentes,0,
2008-07-01,buenos aires,residentes,1304,
2008-07-01,buenos aires,total,1304,
2008-07-01,cordoba,no residentes,272,
2008-07-01,cordoba,residentes,741,
2008-07-01,cordoba,total,1013,
2008-07-01,cuyo,no residentes,131,
2008-07-01,cuyo,residentes,6207,
2008-07-01,cuyo,total,6338,
2008-07-01,litoral,no residentes,36230,
2008-07-01,litoral,residentes,84740,
2008-07-01,litoral,total,120970,
2008-07-01,norte,no residentes,2475,
2008-07-01,norte,residentes,19626,
2008-07-01,norte,total,22101,
2008-07-01,patagonia,no residentes,21411,
2008-07-01,patagonia,residentes,22338,
2008-07-01,patagonia,total,43750,
2008-08-01,buenos aires,no residentes,0,
2008-08-01,buenos aires,residentes,2912,
2008-08-01,buenos aires,total,2912,
2008-08-01,cordoba,no residentes,224,
2008-08-01,cordoba,residentes,915,
2008-08-01,cordoba,total,1139,
2008-08-01,cuyo,no residentes,109,
2008-08-01,cuyo,residentes,5844,
2008-08-01,cuyo,total,5953,
2008-08-01,litoral,no residentes,37508,
2008-08-01,litoral,residentes,81184,
2008-08-01,litoral,total,118692,
2008-08-01,norte,no residentes,1066,
2008-08-01,norte,residentes,10326,
2008-08-01,norte,total,11392,
2008-08-01,patagonia,no residentes,24175,
2008-08-01,patagonia,residentes,20928,
2008-08-01,patagonia,total,45104,
2008-09-01,buenos aires,no residentes,0,
2008-09-01,buenos aires,residentes,1394,
2008-09-01,buenos aires,total,1394,
2008-09-01,cordoba,no residentes,134,
2008-09-01,cordoba,residentes,886,
2008-09-01,cordoba,total,1020,
2008-09-01,cuyo,no residentes,76,
2008-09-01,cuyo,residentes,3205,
2008-09-01,cuyo,total,3281,
2008-09-01,litoral,no residentes,30195,
2008-09-01,litoral,residentes,62209,
2008-09-01,litoral,total,92404,
2008-09-01,norte,no residentes,1362,
2008-09-01,norte,residentes,8319,
2008-09-01,norte,total,9681,
2008-09-01,patagonia,no residentes,32492,
2008-09-01,patagonia,residentes,33363,
2008-09-01,patagonia,total,65855,
2008-10-01,buenos aires,no residentes,0,
2008-10-01,buenos aires,residentes,2004,
2008-10-01,buenos aires,total,2004,
2008-10-01,cordoba,no residentes,168,
2008-10-01,cordoba,residentes,1387,
2008-10-01,cordoba,total,1555,
2008-10-01,cuyo,no residentes,150,
2008-10-01,cuyo,residentes,3578,
